provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
la altagracia,riego de vida,114,44,128,162,158,124,181,193,211,206,193,130,2021
la romana,falta de energia,846,310,973,924,1212,1272,1492,1326,1495,1271,1132,1090,2021
la romana,níveles de tension,144,59,185,177,244,256,266,261,217,195,151,178,2021
la romana,probable defecto o falla,1,1,1,2,2,2,0,2,0,6,1,2,2021
la romana,riego de vida,82,51,97,95,150,130,178,145,195,141,140,131,2021
monte plata,falta de energia,383,425,526,581,647,616,634,574,582,663,483,426,2021
monte plata,níveles de tension,31,47,41,50,57,72,70,82,59,78,44,37,2021
monte plata,probable defecto o falla,3,5,5,14,6,7,12,11,9,9,9,5,2021
monte plata,riego de vida,119,50,148,171,170,168,150,131,124,136,98,88,2021
san pedro de macoris,falta de energia,711,858,895,913,1010,1074,1304,1235,1274,1232,1006,868,2021
san pedro de macoris,níveles de tension,130,123,144,126,128,140,166,158,158,178,129,125,2021
san pedro de macoris,probable defecto o falla,3,6,2,3,5,6,10,9,10,6,2,2,2021
san pedro de macoris,riego de vida,103,127,131,136,142,150,163,185,188,189,153,145,2021
santo domingo,falta de energia,7840,8893,11530,10554,11002,12205,12201,12721,12380,11729,9709,9864,2021
santo domingo,níveles de tension,1700,1954,2525,2225,2418,2668,2739,2678,2976,2761,2210,2119,2021
santo domingo,probable defecto o falla,11,10,22,37,25,26,34,61,9,30,27,17,2021
santo domingo,riego de vida,685,812,1005,903,1016,954,1188,1370,1157,1116,813,823,2021
distrito nacional,falta de energia,1507,1647,2097,2291,3082,2890,3761,4039,3259,3590,3765,3324,2022
distrito nacional,níveles de tension,354,372,432,510,552,563,594,555,383,583,585,511,2022
distrito nacional,probable defecto o falla,7,4,3,9,5,11,10,4,16,5,6,11,2022
distrito nacional,riego de vida,131,147,199,229,243,249,283,326,325,292,323,234,2022
el seibo,falta de energia,336,376,424,441,417,504,500,475,388,901,600,557,2022
el seibo,níveles de tension,33,30,29,57,40,58,50,36,27,61,48,45,2022
el seibo,probable defecto o falla,1,4,2,1,0,2,0,1,4,0,0,45,2022
el seibo,riego de vida,31,45,37,51,46,64,52,45,82,155,76,533,2022
hato mayor,falta de energia,362,449,455,513,606,619,594,599,588,988,645,74,2022
hato mayor,níveles de tension,56,48,44,62,72,91,63,69,55,161,70,2,2022
hato mayor,probable defecto o falla,,2,3,1,2,1,3,2,4,4,2,65,2022
hato mayor,riego de vida,37,47,61,58,82,69,74,76,105,167,91,1139,2022
la altagracia,falta de energia,844,1047,1090,1290,1411,1644,1484,1822,1641,2566,1551,135,2022
la altagracia,níveles de tension,113,142,160,156,180,220,226,212,163,316,188,1,2022
la altagracia,probable defecto o falla,3,3,3,1,3,3,3,4,8,1,4,163,2022
la altagracia,riego de vida,94,136,155,184,208,236,212,244,306,442,256,1179,2022
la romana,falta de energia,933,1040,1289,1455,1674,1578,1571,1788,1845,2270,1672,209,2022
la romana,níveles de tension,162,185,210,240,267,286,285,350,228,397,289,3,2022
la romana,probable defecto o falla,2,1,2,4,4,2,1,2,11,5,7,131,2022
la romana,riego de vida,71,109,145,156,205,200,188,251,371,364,241,537,2022
monte plata,falta de energia,397,450,582,580,627,714,761,696,746,653,547,53,2022
monte plata,níveles de tension,36,32,54,55,51,86,71,56,54,51,45,10,2022
monte plata,probable defecto o falla,11,7,4,8,17,6,8,10,7,9,5,115,2022
monte plata,riego de vida,106,103,133,119,162,146,147,160,188,147,113,944,2022
san pedro de macoris,falta de energia,721,943,1167,1279,1334,1291,1761,1565,1702,1617,1347,129,2022
san pedro de macoris,níveles de tension,95,131,161,179,175,183,227,220,170,205,172,2,2022
san pedro de macoris,probable defecto o falla,1,2,2,4,1,3,3,7,16,2,1,146,2022
san pedro de macoris,riego de vida,91,134,163,164,209,214,235,214,330,298,197,1,2022
santo domingo,falta de energia,8344,9686,11574,12672,13297,11679,13191,13622,11699,13114,12349,11104,2022
santo domingo,níveles de tension,2143,2175,2450,2683,3029,2771,3024,2919,2091,2721,2565,2313,2022
